timestamp,seed,device,log_dir,log_filename,dataset,data_root,data_distribution,non_iid_alpha,num_clients,clients_per_round,model,split_layer,epochs,local_epochs,optimizer,lr,batch_size,dp_mode,target_epsilon,target_delta,noise_multiplier,max_grad_norm,adaptive_clipping_quantile,adaptive_noise_decay,awdp_layerwise,round,train_loss,accuracy,epsilon_per_round,total_epsilon
2025-04-30 09:32:09,42,cpu,experiments/results,adaptive_trial_log.csv,MNIST,./data,iid,0.5,3,3,SimpleCNN,pool1,2,1,SGD,0.05,128,adaptive_clipping,1.5,1e-05,1.0,1.0,0.5,0.99,False,1,0.6529,93.9200,0.0000,0.0000
2025-04-30 09:32:50,42,cpu,experiments/results,adaptive_trial_log.csv,MNIST,./data,iid,0.5,3,3,SimpleCNN,pool1,2,1,SGD,0.05,128,adaptive_clipping,1.5,1e-05,1.0,1.0,0.5,0.99,False,2,0.1676,96.2200,0.0000,0.0000
